date,forecast
2013-02-11,1.5933837449580384
2013-02-12,1.540751209912812
2013-02-13,1.6870853247040458
2013-02-14,1.5963384676891736
2013-02-15,1.5150867176465885
2013-02-19,1.5175990467680833
2013-02-20,1.4455719926963435
2013-02-21,1.6012930488900217
2013-02-22,1.535325539562507
2013-02-25,1.4923179823860389
2013-02-26,1.5439685581216809
2013-02-27,1.524136872350598
2013-02-28,1.4906270126858359
2013-03-01,1.44448255793735
2013-03-04,1.6094999747951757
2013-03-05,1.7264119057188787
2013-03-06,1.813550328732951
2013-03-07,1.7604216210481514
2013-03-08,1.6920316919914513
2013-03-11,1.5990469546565869
2013-03-12,1.5732834630863122
2013-03-13,1.659163456246159
2013-03-14,1.5695935011241728
2013-03-15,1.515911522688599
2013-03-18,1.6404467345375344
2013-03-19,1.756923167574761
2013-03-20,1.6594449354870078
2013-03-21,1.5819705178342605
2013-03-22,1.5014328903980925
2013-03-25,1.5545954816789391
2013-03-26,1.479780134627696
2013-03-27,1.4257228508253041
2013-03-28,1.5160102941762152
2013-04-01,1.6038084315539003
2013-04-02,1.8377960673611875
2013-04-03,1.7273225958056955
2013-04-04,1.634616518474901
2013-04-05,1.5856700768307501
2013-04-08,1.548789686629437
2013-04-09,1.4851583938570783
2013-04-10,1.4168993139688717
2013-04-11,1.48861984647967
2013-04-12,1.4255209992847067
2013-04-15,1.4121166364041664
2013-04-16,1.5587095945049463
2013-04-17,1.5478064532215945
2013-04-18,2.3455501645446453
2013-04-19,2.354004910929477
2013-04-22,2.19256255587543
2013-04-23,2.1363378179403556
2013-04-24,2.06945389554691
2013-04-25,1.9346029734255052
2013-04-26,1.8236171817363738
2013-04-29,1.8332402978148263
2013-04-30,1.961972825745665
2013-05-01,2.042083342336686
2013-05-02,1.929075090310008
2013-05-03,1.8555087039039695
2013-05-06,1.766054100999748
2013-05-07,1.8120810843056
2013-05-08,1.7128104975524352
2013-05-09,1.6492055731913977
2013-05-10,1.644085419215284
2013-05-13,1.5836860629467762
2013-05-14,1.5057940832950854
2013-05-15,1.6422101198170425
2013-05-16,1.9173321769260558
2013-05-17,1.839671900268536
2013-05-20,1.733235025399636
2013-05-21,1.766986898247845
2013-05-22,1.6853095716579918
2013-05-23,1.5948849200199364
2013-05-24,1.512917464718363
2013-05-28,1.4527900668075637
2013-05-29,1.419565014417272
2013-05-30,1.3774604615296
2013-05-31,1.3941928508870458
2013-06-03,1.3469876309560485
2013-06-04,1.2971655941470221
2013-06-05,1.2602134092506727
2013-06-06,1.265085649747574
2013-06-07,1.3270524980344982
2013-06-10,1.296773077814729
2013-06-11,1.2761013557669718
2013-06-12,1.2415694155025798
2013-06-13,1.2784847825210035
2013-06-14,1.2617628099731335
2013-06-17,1.3080878528317585
2013-06-18,1.268083433471621
2013-06-19,1.2294204062694907
2013-06-20,1.3761135628694874
2013-06-21,1.4117869031695056
2013-06-24,1.3824832669417122
2013-06-25,1.5942857274667208
2013-06-26,1.5123287114799466
2013-06-27,1.4926690426704738
2013-06-28,1.4715353842352112
2013-07-01,1.4177023592462394
2013-07-02,1.6691856039263162
2013-07-03,1.7189551223741935
2013-07-05,1.6283480484781392
2013-07-08,1.5683797227090432
2013-07-09,1.5042700964002724
2013-07-10,1.5260998676946584
2013-07-11,1.4603381875269448
2013-07-12,1.4693315399178195
2013-07-15,1.4055707108839757
2013-07-16,1.3479105091860146
2013-07-17,1.3090047224938155
2013-07-18,1.263938715271254
2013-07-19,1.2273785910849662
2013-07-22,1.3079354134192611
2013-07-23,1.2648654272196225
2013-07-24,1.3560777673793378
2013-07-25,2.0343401153836216
2013-07-26,1.9096189396318135
2013-07-29,1.7969305775475677
2013-07-30,1.7512412219212141
2013-07-31,1.6891952418898544
2013-08-01,1.5979131188865778
2013-08-02,1.5374567620353337
2013-08-05,1.5097632236685015
2013-08-06,1.5042636217137024
2013-08-07,1.467597688354305
2013-08-08,1.4021473530406705
2013-08-09,1.3779182892311235
2013-08-12,1.409457957377771
2013-08-13,1.6012031618418048
2013-08-14,2.095921587074112
2013-08-15,2.0307644545020147
2013-08-16,1.8995867501223096
2013-08-19,1.7993330114044965
2013-08-20,1.721122349144015
2013-08-21,1.6849692995772425
2013-08-22,1.5927543975343632
2013-08-23,1.5108343025652402
2013-08-26,1.4471339498416396
2013-08-27,1.3866408942415918
2013-08-28,1.635935499787633
2013-08-29,1.5533664008651662
2013-08-30,1.4764415642465674
2013-09-03,1.4451069883288812
2013-09-04,1.3829748652626637
2013-09-05,1.4656830210291092
2013-09-06,1.421539052583485
2013-09-09,1.3704388561246408
2013-09-10,1.3992306762818147
2013-09-11,1.5430055460756715
2013-09-12,2.3285736452029244
2013-09-13,2.186021866957806
2013-09-16,2.11187275798509
2013-09-17,2.2358553193360047
2013-09-18,2.1082134211618557
2013-09-19,2.061761475763951
2013-09-20,1.9865735209237736
2013-09-23,1.8936817896538718
2013-09-24,2.332121465068128
2013-09-25,2.171471057093269
2013-09-26,2.090974062460487
2013-09-27,1.971743290500891
2013-09-30,1.863719886601178
2013-10-01,1.801311792316437
2013-10-02,1.8367531633294014
2013-10-03,1.7276272191394866
2013-10-04,1.68568747338442
2013-10-07,1.5934906487025917
2013-10-08,1.5369983074299662
2013-10-09,1.5376485574062824
2013-10-10,1.5017438192042063
2013-10-11,1.4410135910173028
2013-10-14,1.38926634580763
2013-10-15,1.3449536418639765
2013-10-16,1.3022111084947048
2013-10-17,1.2640751535451997
2013-10-18,1.2388394173068031
2013-10-21,1.2281847586714452
2013-10-22,1.4045859252648545
